,trip_hours,start_time,end_time,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bike_id,user_type,age,member_gender,bike_share_for_all_trip
190,0.14,2019-02-28 22:28:11.347,2019-02-28 22:36:46.389,58.0,Market St at 10th St,37.776619,-122.417385,321.0,5th St at Folsom,37.78014570345598,-122.40307085237872,5234,Subscriber,41.0,Other,No
242,0.05,2019-02-28 22:19:39.649,2019-02-28 22:22:47.478,67.0,"San Francisco Caltrain Station 2  
(Townsend St at 4th St)",37.7766392,-122.3955263,321.0,5th St at Folsom,37.78014570345598,-122.40307085237872,6214,Subscriber,33.0,Male,No
283,0.14,2019-02-28 22:01:11.149,2019-02-28 22:09:50.543,3.0,"Powell St BART Station 
(Market St at 4th St)",37.78637526861584,-122.40490436553954,11.0,Davis St at Jackson St,37.79728,-122.398436,3451,Subscriber,24.0,Male,No
296,0.15,2019-02-28 21:57:24.567,2019-02-28 22:06:19.605,58.0,Market St at 10th St,37.776619,-122.417385,16.0,Steuart St at Market St,37.79413,-122.39443,5546,Subscriber,36.0,Male,No
299,0.16,2019-02-28 21:55:44.278,2019-02-28 22:05:05.693,15.0,"San Francisco Ferry Building 
(Harry Bridges Plaza)",37.795392,-122.394203,66.0,3rd St at Townsend St,37.77874161153677,-122.39274082710836,1502,Subscriber,45.0,Female,No
344,0.2,2019-02-28 21:41:23.071,2019-02-28 21:53:23.178,58.0,Market St at 10th St,37.776619,-122.417385,70.0,Central Ave at Fell St,37.77331087889723,-122.44429260492323,4744,Subscriber,28.0,Male,No
347,0.47,2019-02-28 21:23:52.571,2019-02-28 21:51:54.834,15.0,"San Francisco Ferry Building 
(Harry Bridges Plaza)",37.795392,-122.394203,350.0,8th St at Brannan St,37.771431362921085,-122.40578681230544,6290,Subscriber,31.0,Male,No
378,0.15,2019-02-28 21:35:54.564,2019-02-28 21:45:08.454,3.0,"Powell St BART Station 
(Market St at 4th St)",37.78637526861584,-122.40490436553954,11.0,Davis St at Jackson St,37.79728,-122.398436,3040,Subscriber,23.0,Male,No
385,0.21,2019-02-28 21:31:24.939,2019-02-28 21:44:17.226,3.0,"Powell St BART Station 
(Market St at 4th St)",37.78637526861584,-122.40490436553954,6.0,The Embarcadero at Sansome St,37.80477,-122.403234,733,Customer,37.0,Male,No
395,0.13,2019-02-28 21:33:32.259,2019-02-28 21:41:28.074,67.0,"San Francisco Caltrain Station 2  
(Townsend St at 4th St)",37.7766392,-122.3955263,126.0,Esprit Park,37.7616343,-122.3906477,5859,Subscriber,31.0,Male,No
426,0.65,2019-02-28 20:55:56.044,2019-02-28 21:35:13.970,3.0,"Powell St BART Station 
(Market St at 4th St)",37.78637526861584,-122.40490436553954,60.0,8th St at Ringold St,37.77452040113685,-122.4094493687153,5907,Subscriber,27.0,Male,Yes
430,0.03,2019-02-28 21:32:40.543,2019-02-28 21:34:27.740,15.0,"San Francisco Ferry Building 
(Harry Bridges Plaza)",37.795392,-122.394203,15.0,San Francisco Ferry Building (Harry Bridges Plaza),37.795392,-122.394203,5585,Subscriber,29.0,Female,No
441,0.22,2019-02-28 21:17:58.499,2019-02-28 21:31:14.691,3.0,"Powell St BART Station 
(Market St at 4th St)",37.78637526861584,-122.40490436553954,6.0,The Embarcadero at Sansome St,37.80477,-122.403234,623,Subscriber,55.0,Female,No
446,0.17,2019-02-28 21:20:20.385,2019-02-28 21:30:33.796,58.0,Market St at 10th St,37.776619,-122.417385,141.0,Valencia St at Cesar Chavez St,37.7479981,-122.4202187,4716,Subscriber,33.0,Male,No
458,0.09,2019-02-28 21:22:54.320,2019-02-28 21:28:02.037,67.0,"San Francisco Caltrain Station 2  
(Townsend St at 4th St)",37.7766392,-122.3955263,90.0,Townsend St at 7th St,37.771058,-122.402717,2138,Subscriber,32.0,Female,No
474,0.43,2019-02-28 20:58:27.217,2019-02-28 21:24:28.831,3.0,"Powell St BART Station 
(Market St at 4th St)",37.78637526861584,-122.40490436553954,386.0,24th St at Bartlett St,37.752104984423575,-122.41972357034685,1338,Customer,35.0,Female,No
477,0.12,2019-02-28 21:17:07.919,2019-02-28 21:24:18.403,21.0,"Montgomery St BART Station 
(Market St at 2nd St)",37.7896254,-122.400811,16.0,Steuart St at Market St,37.79413,-122.39443,6210,Subscriber,36.0,Male,No
486,0.21,2019-02-28 21:10:17.662,2019-02-28 21:22:51.155,21.0,"Montgomery St BART Station 
(Market St at 2nd St)",37.7896254,-122.400811,76.0,McCoppin St at Valencia St,37.77166246221617,-122.42242321372034,6419,Subscriber,30.0,Female,No
505,0.1,2019-02-28 21:14:29.897,2019-02-28 21:20:22.700,21.0,"Montgomery St BART Station 
(Market St at 2nd St)",37.7896254,-122.400811,27.0,Beale St at Harrison St,37.7880593,-122.3918648,5108,Subscriber,64.0,Male,No
518,0.26,2019-02-28 21:02:47.545,2019-02-28 21:18:27.171,3.0,"Powell St BART Station 
(Market St at 4th St)",37.78637526861584,-122.40490436553954,55.0,Webster St at Grove St,37.7770527,-122.4295585,793,Subscriber,28.0,Male,No
519,0.13,2019-02-28 21:10:42.353,2019-02-28 21:18:23.518,21.0,"Montgomery St BART Station 
(Market St at 2nd St)",37.7896254,-122.400811,30.0,San Francisco Caltrain (Townsend St at 4th St),37.776598,-122.395282,5299,Subscriber,43.0,Male,No
526,0.09,2019-02-28 21:11:26.978,2019-02-28 21:17:02.387,21.0,"Montgomery St BART Station 
(Market St at 2nd St)",37.7896254,-122.400811,10.0,Washington St at Kearny St,37.79539293725452,-122.4047702550888,6168,Subscriber,32.0,Male,No
530,0.09,2019-02-28 21:10:53.023,2019-02-28 21:16:02.716,58.0,Market St at 10th St,37.776619,-122.417385,62.0,Victoria Manalo Draves Park,37.77779057034257,-122.40643188357352,4960,Subscriber,28.0,Male,No
534,0.28,2019-02-28 20:58:51.575,2019-02-28 21:15:37.772,3.0,"Powell St BART Station 
(Market St at 4th St)",37.78637526861584,-122.40490436553954,125.0,20th St at Bryant St,37.7592005,-122.409851,2628,Subscriber,27.0,Male,No
556,0.63,2019-02-28 20:34:11.583,2019-02-28 21:12:04.454,3.0,"Powell St BART Station 
(Market St at 4th St)",37.78637526861584,-122.40490436553954,120.0,Mission Dolores Park,37.7614205,-122.4264353,6252,Subscriber,24.0,Male,No
562,0.22,2019-02-28 20:56:48.270,2019-02-28 21:10:05.143,15.0,"San Francisco Ferry Building 
(Harry Bridges Plaza)",37.795392,-122.394203,115.0,Jackson Playground,37.7650259,-122.3987734,5376,Subscriber,37.0,Male,No
564,0.18,2019-02-28 20:59:22.225,2019-02-28 21:10:02.629,3.0,"Powell St BART Station 
(Market St at 4th St)",37.78637526861584,-122.40490436553954,73.0,Pierce St at Haight St,37.7717933,-122.4337079,4827,Subscriber,27.0,Female,No
567,0.07,2019-02-28 21:05:05.562,2019-02-28 21:09:10.613,15.0,"San Francisco Ferry Building 
(Harry Bridges Plaza)",37.795392,-122.394203,323.0,Broadway at Kearny,37.79801364395978,-122.40595042705534,6108,Subscriber,31.0,Male,No
569,0.25,2019-02-28 20:54:11.919,2019-02-28 21:09:01.301,15.0,"San Francisco Ferry Building 
(Harry Bridges Plaza)",37.795392,-122.394203,116.0,Mississippi St at 17th St,37.7648022,-122.3947713,4762,Subscriber,27.0,Male,No
606,0.06,2019-02-28 20:57:41.739,2019-02-28 21:01:31.317,3.0,"Powell St BART Station 
(Market St at 4th St)",37.78637526861584,-122.40490436553954,47.0,4th St at Harrison St,37.78095459960753,-122.39974915981291,5257,Subscriber,43.0,Female,No
610,0.07,2019-02-28 20:56:59.112,2019-02-28 21:00:57.439,58.0,Market St at 10th St,37.776619,-122.417385,44.0,Civic Center/UN Plaza BART Station (Market St at McAllister St),37.7810737,-122.4117382,6456,Subscriber,31.0,Male,No
614,0.12,2019-02-28 20:52:54.742,2019-02-28 21:00:12.399,58.0,Market St at 10th St,37.776619,-122.417385,285.0,Webster St at O'Farrell St,37.78352083526095,-122.43115782737732,5228,Subscriber,26.0,Female,No
615,0.15,2019-02-28 20:51:01.318,2019-02-28 21:00:09.832,3.0,"Powell St BART Station 
(Market St at 4th St)",37.78637526861584,-122.40490436553954,75.0,Market St at Franklin St,37.7737932060887,-122.42123901844025,3614,Subscriber,32.0,Male,No
620,0.09,2019-02-28 20:53:59.644,2019-02-28 20:59:22.469,3.0,"Powell St BART Station 
(Market St at 4th St)",37.78637526861584,-122.40490436553954,58.0,Market St at 10th St,37.776619,-122.417385,4744,Subscriber,34.0,Male,No
625,0.11,2019-02-28 20:52:11.953,2019-02-28 20:58:56.136,58.0,Market St at 10th St,37.776619,-122.417385,3.0,Powell St BART Station (Market St at 4th St),37.78637526861584,-122.40490436553954,4827,Subscriber,30.0,Male,No
626,0.27,2019-02-28 20:42:04.045,2019-02-28 20:58:29.917,67.0,"San Francisco Caltrain Station 2  
(Townsend St at 4th St)",37.7766392,-122.3955263,109.0,17th St at Valencia St,37.7633158,-122.4219039,2473,Subscriber,28.0,Female,No
633,0.85,2019-02-28 20:06:13.030,2019-02-28 20:57:22.225,58.0,Market St at 10th St,37.776619,-122.417385,85.0,Church St at Duboce Ave,37.7700831,-122.4291557,6413,Subscriber,31.0,Male,No
640,0.07,2019-02-28 20:51:56.099,2019-02-28 20:56:09.522,58.0,Market St at 10th St,37.776619,-122.417385,99.0,Folsom St at 15th St,37.7670373,-122.4154425,5867,Subscriber,22.0,Male,No
651,0.14,2019-02-28 20:46:30.272,2019-02-28 20:54:41.905,67.0,"San Francisco Caltrain Station 2  
(Townsend St at 4th St)",37.7766392,-122.3955263,33.0,Golden Gate Ave at Hyde St,37.7816495,-122.4154077,5934,Subscriber,34.0,Male,No
663,0.25,2019-02-28 20:37:47.510,2019-02-28 20:53:02.202,67.0,"San Francisco Caltrain Station 2  
(Townsend St at 4th St)",37.7766392,-122.3955263,5.0,Powell St BART Station (Market St at 5th St),37.78389935708493,-122.4084448814392,5943,Customer,28.0,Male,No
681,0.19,2019-02-28 20:38:53.288,2019-02-28 20:50:27.638,67.0,"San Francisco Caltrain Station 2  
(Townsend St at 4th St)",37.7766392,-122.3955263,17.0,Embarcadero BART Station (Beale St at Market St),37.792251,-122.397086,5469,Subscriber,39.0,Male,No
688,0.62,2019-02-28 20:11:36.024,2019-02-28 20:49:06.262,3.0,"Powell St BART Station 
(Market St at 4th St)",37.78637526861584,-122.40490436553954,28.0,The Embarcadero at Bryant St,37.78716801474664,-122.38809792330358,2868,Subscriber,52.0,Male,No
727,0.1,2019-02-28 20:36:41.057,2019-02-28 20:42:58.586,21.0,"Montgomery St BART Station 
(Market St at 2nd St)",37.7896254,-122.400811,343.0,Bryant St at 2nd St,37.783171989315306,-122.39357203245164,1113,Subscriber,30.0,Female,No
734,0.1,2019-02-28 20:34:51.646,2019-02-28 20:41:05.062,58.0,Market St at 10th St,37.776619,-122.417385,97.0,14th St at Mission St,37.7682646,-122.4201102,5253,Customer,38.0,Male,No
743,0.23,2019-02-28 20:25:53.830,2019-02-28 20:39:53.854,67.0,"San Francisco Caltrain Station 2  
(Townsend St at 4th St)",37.7766392,-122.3955263,95.0,Sanchez St at 15th St,37.7662185,-122.4310597,6234,Customer,34.0,Male,No
752,0.11,2019-02-28 20:31:08.123,2019-02-28 20:37:58.082,3.0,"Powell St BART Station 
(Market St at 4th St)",37.78637526861584,-122.40490436553954,368.0,Myrtle St at Polk St,37.78543382786823,-122.41962164640428,5235,Subscriber,31.0,Male,No
779,10.05,2019-02-28 10:30:03.377,2019-02-28 20:33:14.228,58.0,Market St at 10th St,37.776619,-122.417385,375.0,Grove St at Masonic Ave,37.77483629413345,-122.44654566049576,5465,Subscriber,31.0,Female,No
791,0.17,2019-02-28 20:20:34.397,2019-02-28 20:30:58.483,15.0,"San Francisco Ferry Building 
(Harry Bridges Plaza)",37.795392,-122.394203,81.0,Berry St at 4th St,37.77588,-122.39317,5248,Subscriber,54.0,Female,No
797,0.26,2019-02-28 20:14:11.876,2019-02-28 20:29:52.047,15.0,"San Francisco Ferry Building 
(Harry Bridges Plaza)",37.795392,-122.394203,130.0,22nd St Caltrain Station,37.75728840784085,-122.3920512199402,4923,Customer,36.0,Male,No
800,0.21,2019-02-28 20:16:47.153,2019-02-28 20:29:19.395,3.0,"Powell St BART Station 
(Market St at 4th St)",37.78637526861584,-122.40490436553954,91.0,Berry St at King St,37.771762110313176,-122.39843755960464,361,Subscriber,27.0,Female,No
802,0.12,2019-02-28 20:22:08.222,2019-02-28 20:29:14.399,3.0,"Powell St BART Station 
(Market St at 4th St)",37.78637526861584,-122.40490436553954,58.0,Market St at 10th St,37.776619,-122.417385,1511,Subscriber,24.0,Male,No
818,0.15,2019-02-28 20:17:52.369,2019-02-28 20:26:41.616,3.0,"Powell St BART Station 
(Market St at 4th St)",37.78637526861584,-122.40490436553954,47.0,4th St at Harrison St,37.78095459960753,-122.39974915981291,1834,Subscriber,50.0,Male,Yes
820,0.27,2019-02-28 20:10:12.818,2019-02-28 20:26:24.780,15.0,"San Francisco Ferry Building 
(Harry Bridges Plaza)",37.795392,-122.394203,130.0,22nd St Caltrain Station,37.75728840784085,-122.3920512199402,4610,Subscriber,54.0,Male,No
830,0.28,2019-02-28 20:08:14.565,2019-02-28 20:25:07.212,67.0,"San Francisco Caltrain Station 2  
(Townsend St at 4th St)",37.7766392,-122.3955263,39.0,Scott St at Golden Gate Ave,37.7789994,-122.4368608,5134,Subscriber,35.0,Male,No
839,0.34,2019-02-28 20:02:45.312,2019-02-28 20:22:59.155,15.0,"San Francisco Ferry Building 
(Harry Bridges Plaza)",37.795392,-122.394203,134.0,Valencia St at 24th St,37.7524278,-122.4206278,4832,Subscriber,54.0,Male,No
840,0.28,2019-02-28 20:06:19.121,2019-02-28 20:22:55.601,15.0,"San Francisco Ferry Building 
(Harry Bridges Plaza)",37.795392,-122.394203,130.0,22nd St Caltrain Station,37.75728840784085,-122.3920512199402,6291,Subscriber,29.0,Male,No
842,0.23,2019-02-28 20:08:45.530,2019-02-28 20:22:48.118,67.0,"San Francisco Caltrain Station 2  
(Townsend St at 4th St)",37.7766392,-122.3955263,369.0,Hyde St at Post St,37.78734902316596,-122.41665109992026,6297,Subscriber,25.0,Male,No
860,0.14,2019-02-28 20:12:01.230,2019-02-28 20:20:39.955,21.0,"Montgomery St BART Station 
(Market St at 2nd St)",37.7896254,-122.400811,67.0,San Francisco Caltrain Station 2  (Townsend St at 4th St),37.7766392,-122.3955263,817,Subscriber,33.0,Male,No
888,0.18,2019-02-28 20:07:11.170,2019-02-28 20:18:01.046,21.0,"Montgomery St BART Station 
(Market St at 2nd St)",37.7896254,-122.400811,58.0,Market St at 10th St,37.776619,-122.417385,789,Subscriber,23.0,Female,No
899,0.21,2019-02-28 20:03:43.716,2019-02-28 20:16:21.130,67.0,"San Francisco Caltrain Station 2  
(Townsend St at 4th St)",37.7766392,-122.3955263,368.0,Myrtle St at Polk St,37.78543382786823,-122.41962164640428,6523,Subscriber,32.0,Male,No
931,0.22,2019-02-28 19:58:40.317,2019-02-28 20:11:48.439,67.0,"San Francisco Caltrain Station 2  
(Townsend St at 4th St)",37.7766392,-122.3955263,97.0,14th St at Mission St,37.7682646,-122.4201102,5845,Subscriber,32.0,Female,No
933,0.33,2019-02-28 19:51:36.594,2019-02-28 20:11:22.469,15.0,"San Francisco Ferry Building 
(Harry Bridges Plaza)",37.795392,-122.394203,375.0,Grove St at Masonic Ave,37.77483629413345,-122.44654566049576,4817,Subscriber,32.0,Male,No
943,0.24,2019-02-28 19:55:50.550,2019-02-28 20:10:05.887,67.0,"San Francisco Caltrain Station 2  
(Townsend St at 4th St)",37.7766392,-122.3955263,125.0,20th St at Bryant St,37.7592005,-122.409851,4921,Subscriber,37.0,Male,No
965,0.26,2019-02-28 19:51:30.522,2019-02-28 20:07:07.475,67.0,"San Francisco Caltrain Station 2  
(Townsend St at 4th St)",37.7766392,-122.3955263,365.0,Turk St at Fillmore St,37.78045005996349,-122.43194639682768,4986,Subscriber,36.0,Female,No
966,0.23,2019-02-28 19:53:16.520,2019-02-28 20:07:05.827,67.0,"San Francisco Caltrain Station 2  
(Townsend St at 4th St)",37.7766392,-122.3955263,6.0,The Embarcadero at Sansome St,37.80477,-122.403234,4934,Subscriber,35.0,Male,No
967,0.04,2019-02-28 20:04:44.087,2019-02-28 20:06:59.434,67.0,"San Francisco Caltrain Station 2  
(Townsend St at 4th St)",37.7766392,-122.3955263,92.0,Mission Bay Kids Park,37.772300631747626,-122.3930275440216,6288,Subscriber,28.0,Male,No
968,0.2,2019-02-28 19:54:58.282,2019-02-28 20:06:57.908,67.0,"San Francisco Caltrain Station 2  
(Townsend St at 4th St)",37.7766392,-122.3955263,101.0,15th St at Potrero Ave,37.76707850458367,-122.40735858678818,5133,Customer,29.0,Male,No
971,0.29,2019-02-28 19:48:48.187,2019-02-28 20:06:27.209,21.0,"Montgomery St BART Station 
(Market St at 2nd St)",37.7896254,-122.400811,56.0,Koshland Park,37.77341396997343,-122.427316904068,6192,Subscriber,25.0,Female,No
973,0.16,2019-02-28 19:56:14.613,2019-02-28 20:06:08.320,21.0,"Montgomery St BART Station 
(Market St at 2nd St)",37.7896254,-122.400811,28.0,The Embarcadero at Bryant St,37.78716801474664,-122.38809792330358,2107,Subscriber,32.0,Male,No
985,0.22,2019-02-28 19:50:57.608,2019-02-28 20:04:19.601,67.0,"San Francisco Caltrain Station 2  
(Townsend St at 4th St)",37.7766392,-122.3955263,74.0,Laguna St at Hayes St,37.776434819204745,-122.42624402046204,5343,Subscriber,42.0,Male,No
991,0.07,2019-02-28 19:59:19.436,2019-02-28 20:03:28.393,21.0,"Montgomery St BART Station 
(Market St at 2nd St)",37.7896254,-122.400811,16.0,Steuart St at Market St,37.79413,-122.39443,1547,Subscriber,54.0,Male,No
999,0.19,2019-02-28 19:51:31.544,2019-02-28 20:02:48.454,21.0,"Montgomery St BART Station 
(Market St at 2nd St)",37.7896254,-122.400811,92.0,Mission Bay Kids Park,37.772300631747626,-122.3930275440216,3642,Subscriber,33.0,Female,No
1005,0.16,2019-02-28 19:52:18.256,2019-02-28 20:01:45.702,67.0,"San Francisco Caltrain Station 2  
(Townsend St at 4th St)",37.7766392,-122.3955263,124.0,19th St at Florida St,37.7604469,-122.410807,4730,Subscriber,53.0,Male,No
1007,0.17,2019-02-28 19:51:03.961,2019-02-28 20:01:19.162,3.0,"Powell St BART Station 
(Market St at 4th St)",37.78637526861584,-122.40490436553954,356.0,Valencia St at Clinton Park,37.769188178104585,-122.42228507995604,5366,Subscriber,28.0,Female,No
1019,0.07,2019-02-28 19:55:24.131,2019-02-28 19:59:51.201,67.0,"San Francisco Caltrain Station 2  
(Townsend St at 4th St)",37.7766392,-122.3955263,343.0,Bryant St at 2nd St,37.783171989315306,-122.39357203245164,6352,Subscriber,56.0,Male,No
1027,0.08,2019-02-28 19:54:15.725,2019-02-28 19:59:01.914,15.0,"San Francisco Ferry Building 
(Harry Bridges Plaza)",37.795392,-122.394203,8.0,The Embarcadero at Vallejo St,37.799953,-122.398525,6139,Subscriber,36.0,Male,No
1051,0.19,2019-02-28 19:45:31.242,2019-02-28 19:56:40.713,58.0,Market St at 10th St,37.776619,-122.417385,144.0,Precita Park,37.7472996,-122.4114029,5964,Subscriber,33.0,Male,No
1058,0.09,2019-02-28 19:50:39.735,2019-02-28 19:55:50.108,67.0,"San Francisco Caltrain Station 2  
(Townsend St at 4th St)",37.7766392,-122.3955263,36.0,Folsom St at 3rd St,37.78383,-122.39887,4344,Subscriber,34.0,Male,No
1059,0.15,2019-02-28 19:46:54.740,2019-02-28 19:55:43.072,58.0,Market St at 10th St,37.776619,-122.417385,96.0,Dolores St at 15th St,37.7662102,-122.4266136,6129,Subscriber,33.0,Female,No
1060,0.3,2019-02-28 19:37:28.188,2019-02-28 19:55:40.172,3.0,"Powell St BART Station 
(Market St at 4th St)",37.78637526861584,-122.40490436553954,223.0,16th St Mission BART Station 2,37.7647652154977,-122.42009103298186,5941,Subscriber,27.0,Female,No
1072,0.05,2019-02-28 19:51:35.594,2019-02-28 19:54:45.127,58.0,Market St at 10th St,37.776619,-122.417385,33.0,Golden Gate Ave at Hyde St,37.7816495,-122.4154077,5200,Subscriber,28.0,Male,No
1084,0.25,2019-02-28 19:39:25.531,2019-02-28 19:54:09.114,3.0,"Powell St BART Station 
(Market St at 4th St)",37.78637526861584,-122.40490436553954,345.0,Hubbell St at 16th St,37.766482696439496,-122.39827930927277,1220,Subscriber,34.0,Male,No
1086,0.31,2019-02-28 19:35:37.584,2019-02-28 19:54:01.417,67.0,"San Francisco Caltrain Station 2  
(Townsend St at 4th St)",37.7766392,-122.3955263,381.0,20th St at Dolores St,37.75823842417928,-122.4260938167572,5965,Subscriber,45.0,Male,No
1093,0.27,2019-02-28 19:36:13.721,2019-02-28 19:52:40.919,67.0,"San Francisco Caltrain Station 2  
(Townsend St at 4th St)",37.7766392,-122.3955263,370.0,Jones St at Post St,37.7873267660624,-122.41327822208405,4728,Subscriber,34.0,Male,No
1102,0.17,2019-02-28 19:41:26.217,2019-02-28 19:51:49.975,58.0,Market St at 10th St,37.776619,-122.417385,53.0,Grove St at Divisadero,37.775946,-122.4377775,4958,Subscriber,29.0,Male,No
1106,0.24,2019-02-28 19:36:45.231,2019-02-28 19:50:57.065,67.0,"San Francisco Caltrain Station 2  
(Townsend St at 4th St)",37.7766392,-122.3955263,74.0,Laguna St at Hayes St,37.776434819204745,-122.42624402046204,4567,Subscriber,37.0,Other,No
1113,0.15,2019-02-28 19:41:18.904,2019-02-28 19:50:16.693,58.0,Market St at 10th St,37.776619,-122.417385,53.0,Grove St at Divisadero,37.775946,-122.4377775,5848,Subscriber,27.0,Female,No
1115,0.09,2019-02-28 19:44:44.309,2019-02-28 19:49:57.811,58.0,Market St at 10th St,37.776619,-122.417385,55.0,Webster St at Grove St,37.7770527,-122.4295585,6249,Subscriber,27.0,Female,No
1129,0.16,2019-02-28 19:38:15.947,2019-02-28 19:47:51.851,15.0,"San Francisco Ferry Building 
(Harry Bridges Plaza)",37.795392,-122.394203,67.0,San Francisco Caltrain Station 2  (Townsend St at 4th St),37.7766392,-122.3955263,4934,Subscriber,40.0,Female,No
1139,0.65,2019-02-28 19:07:21.184,2019-02-28 19:46:27.049,21.0,"Montgomery St BART Station 
(Market St at 2nd St)",37.7896254,-122.400811,66.0,3rd St at Townsend St,37.77874161153677,-122.39274082710836,5870,Customer,42.0,Male,No
1154,0.15,2019-02-28 19:35:38.295,2019-02-28 19:44:51.201,67.0,"San Francisco Caltrain Station 2  
(Townsend St at 4th St)",37.7766392,-122.3955263,336.0,Potrero Ave and Mariposa St,37.76328094058097,-122.4073773622513,4805,Subscriber,35.0,Female,No
1169,0.14,2019-02-28 19:34:44.731,2019-02-28 19:42:51.361,67.0,"San Francisco Caltrain Station 2  
(Townsend St at 4th St)",37.7766392,-122.3955263,44.0,Civic Center/UN Plaza BART Station (Market St at McAllister St),37.7810737,-122.4117382,4778,Subscriber,33.0,Female,No
1176,0.41,2019-02-28 19:17:32.459,2019-02-28 19:42:17.329,21.0,"Montgomery St BART Station 
(Market St at 2nd St)",37.7896254,-122.400811,134.0,Valencia St at 24th St,37.7524278,-122.4206278,2330,Subscriber,36.0,Other,No
1183,0.61,2019-02-28 19:04:49.255,2019-02-28 19:41:24.563,15.0,"San Francisco Ferry Building 
(Harry Bridges Plaza)",37.795392,-122.394203,146.0,30th St at San Jose Ave,37.7423139,-122.4231805,5822,Subscriber,41.0,Male,No
1191,0.12,2019-02-28 19:33:29.540,2019-02-28 19:40:26.206,58.0,Market St at 10th St,37.776619,-122.417385,3.0,Powell St BART Station (Market St at 4th St),37.78637526861584,-122.40490436553954,6633,Subscriber,54.0,Female,No
1219,0.39,2019-02-28 19:13:35.925,2019-02-28 19:37:04.193,21.0,"Montgomery St BART Station 
(Market St at 2nd St)",37.7896254,-122.400811,119.0,18th St at Noe St,37.7610471,-122.4326417,6111,Subscriber,31.0,Male,No
1223,0.2,2019-02-28 19:25:19.173,2019-02-28 19:37:01.195,15.0,"San Francisco Ferry Building 
(Harry Bridges Plaza)",37.795392,-122.394203,67.0,San Francisco Caltrain Station 2  (Townsend St at 4th St),37.7766392,-122.3955263,5943,Customer,63.0,Male,No
1224,0.34,2019-02-28 19:16:34.163,2019-02-28 19:36:57.342,15.0,"San Francisco Ferry Building 
(Harry Bridges Plaza)",37.795392,-122.394203,67.0,San Francisco Caltrain Station 2  (Townsend St at 4th St),37.7766392,-122.3955263,6523,Subscriber,58.0,Male,No
1232,0.29,2019-02-28 19:18:43.533,2019-02-28 19:36:21.459,67.0,"San Francisco Caltrain Station 2  
(Townsend St at 4th St)",37.7766392,-122.3955263,223.0,16th St Mission BART Station 2,37.7647652154977,-122.42009103298186,4404,Subscriber,38.0,Female,No
